0
";2017-09-08 11:02;6;3;""Akombe is being used by NASA to steal the will of the people. #AkombeMustGo @kenyadailyeye @OnkundiRichard @surum_ @lake_kisumu @Muhahami pic.twitter.com/XKRNRt81um"";;@kenyadailyeye @OnkundiRichard @surum_ @lake_kisumu @Muhahami;#AkombeMustGo;""906065272712429568"";https://twitter.com/MsemaKweliKenya/status/906065272712429568        "
";2017-09-08 11:02;0;0;""what an act of backwardness its an acceptable under all measures #AKOMBEMustGo"";;;#AKOMBEMustGo;""906065211936964608"";https://twitter.com/ephraim294/status/906065211936964608        "
";2017-09-08 11:00;3;8;""Theft of public trust  though futile  must be skillful or not attempted at all lest you ridicule your method #AkombeMustGo pic.twitter.com/lRzhVYlp6J"";;;#AkombeMustGo;""906064562801303552"";https://twitter.com/KenyaOne_/status/906064562801303552      "
";2017-09-08 10:58;0;0;""This woman is cause of disunity at @IEBCKenya and she must go #AkombeMustGo"";;@IEBCKenya;#AkombeMustGo;""906064136118956032"";https://twitter.com/davidwagikuyu/status/906064136118956032        "
";2017-09-08 10:57;0;0;""#AkombeMustGo (prayers must come after acceptance of truth.) God can't be fooled. https:// twitter.com/SenMutula/stat us/905869880506929154 …"";;;#AkombeMustGo;""906064043789701120"";https://twitter.com/mandere/status/906064043789701120        "
";2017-09-08 10:57;1;0;""Chebukati & Akombe are isolating other IEBC commissioners and acting in favor of NASA. #AkombeMustGo @vinny_wa @TheKenyanPost @festus_mate pic.twitter.com/CFGHsLReIu"";;@vinny_wa @TheKenyanPost @festus_mate;#AkombeMustGo;""906063900755546112"";https://twitter.com/MsemaKweliKenya/status/906063900755546112        "
";2017-09-08 10:57;0;0;""Our business are bleeding  economy sluggish simply because of NASA selfish intrest  we cn't take it any more #AkombeMustGo"";;;#AkombeMustGo;""906063811702128640"";https://twitter.com/davidwagikuyu/status/906063811702128640      "
";2017-09-08 10:56;0;0;""And you helped he ship the stolen consignment - Give us more info please #AkombeMustGo https:// twitter.com/mandere/status /906058861932670976 …"";;;#AkombeMustGo;""906063567887097856"";https://twitter.com/Pal_Jeff/status/906063567887097856        "
";2017-09-08 10:55;0;0;""They will look for anything to justify their fake victory - Last Kicks of a dying donkey #AkombeMustGo https:// twitter.com/mussolini_P/st atus/906059065519996928 …"";;;#AkombeMustGo;""906063318938509312"";https://twitter.com/Pal_Jeff/status/906063318938509312        "
";2017-09-08 10:54;0;0;""We have stomached for long and wn't tolorate NASA nonsense #AkombeMustGo"";;;#AkombeMustGo;""906063245483573248"";https://twitter.com/davidwagikuyu/status/906063245483573248        "
";2017-09-08 10:53;0;0;""Apparently it appears that he's being sacrificed #AkombeMustGo"";;;#AkombeMustGo;""906063014331387905"";https://twitter.com/KelvinLangat10/status/906063014331387905        "
";2017-09-08 10:53;0;0;""Akombe is the inside man for NASA's plan to rob Kenyans blind on #17October #AkombeMustGo @LilKoima @Ma3Route @Maskani254 @Uchaguzi_2017 pic.twitter.com/eoo2k5YA9u"";;@LilKoima @Ma3Route @Maskani254 @Uchaguzi_2017;#17October #AkombeMustGo;""906062977253683200"";https://twitter.com/MsemaKweliKenya/status/906062977253683200        "
";2017-09-08 10:52;0;1;""Let it go into your records  Akombe is a former side chick to our president and is the one who gives inside info to Jubilee #AkombeMustGo pic.twitter.com/cMYLksRU3G"";;;#AkombeMustGo;""906062645123571712"";https://twitter.com/Pal_Jeff/status/906062645123571712       "
";2017-09-08 10:50;0;0;""It was planned to fail.... #NASA knew #SupremeCourtRuling would rule in their favour thanks to #AkombeMustGo meticulous planning."";;;#NASA #SupremeCourtRuling #AkombeMustGo;""906062126510473216"";https://twitter.com/mandere/status/906062126510473216        "
";2017-09-08 10:47;0;0;""NASA has tried to remove every other commissioner at IEBC except Akombe because she is their inside man #AkombeMustGo @kenyaisbetter @kot pic.twitter.com/4g7fTLPb0K"";;@kenyaisbetter @kot;#AkombeMustGo;""906061378687033344"";https://twitter.com/MsemaKweliKenya/status/906061378687033344        "
";2017-09-08 10:45;0;0;""Why campaign if you won by a clear margin of 1.4m???? What happened to the portal??? ...focus John Marigu #AkombeMustGo"";;;#AkombeMustGo;""906060876582535168"";https://twitter.com/danitos39/status/906060876582535168        "
";2017-09-08 10:43;2;0;""#AkombeMustGo She cannot be allowed to continue assisting NASA from within IEBC to grab power through the backdoor #ChebukatiMemoToChiloba pic.twitter.com/ubOLsVodwo"";;;#AkombeMustGo #ChebukatiMemoToChiloba;""906060408439656448"";https://twitter.com/MsemaKweliKenya/status/906060408439656448        "
";2017-09-08 10:42;0;0;""What is your source of this fake news? #AkombeMustGo https:// twitter.com/Atanasi_/statu s/906054722116886528 …"";;;#AkombeMustGo;""906060107313762304"";https://twitter.com/Weingos/status/906060107313762304        "
";2017-09-08 10:41;0;0;""Akombe is protected by NASA. That's the reason for her arrogance and refusal to resign! Nasa is defending her on a presser #AkombeMustGo"";;;#AkombeMustGo;""906059857278750720"";https://twitter.com/mussolini_P/status/906059857278750720        "
